Domain,Area,Element,Item,Year,Value
"Suite of Food Security Indicators","Algeria","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","4.9"
"Suite of Food Security Indicators","Algeria","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","6.9"
"Suite of Food Security Indicators","Algeria","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","7"
"Suite of Food Security Indicators","Algeria","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","5.6"
"Suite of Food Security Indicators","Algeria","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","4.3"
"Suite of Food Security Indicators","Algeria","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","4.3"
"Suite of Food Security Indicators","Algeria","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","4.3"
"Suite of Food Security Indicators","Algeria","Value","Political stability and absence of violence/terrorism (index)","2021","-0.99"
"Suite of Food Security Indicators","Algeria","Value","Political stability and absence of violence/terrorism (index)","2022","-0.65"
"Suite of Food Security Indicators","Algeria","Value","Number of obese adults (18 years and older) (million)","2021","6.7"
"Suite of Food Security Indicators","Algeria","Value","Number of obese adults (18 years and older) (million)","2022","6.9"
"Suite of Food Security Indicators","American Samoa","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","American Samoa","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","American Samoa","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","American Samoa","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","American Samoa","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","American Samoa","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","American Samoa","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","American Samoa","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","American Samoa","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","American Samoa","Value","Political stability and absence of violence/terrorism (index)","2021","1.07"
"Suite of Food Security Indicators","American Samoa","Value","Political stability and absence of violence/terrorism (index)","2022","1.12"
"Suite of Food Security Indicators","American Samoa","Value","Number of obese adults (18 years and older) (million)","2021","<0.1"
"Suite of Food Security Indicators","American Samoa","Value","Number of obese adults (18 years and older) (million)","2022","<0.1"
"Suite of Food Security Indicators","Andorra","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","59332"
"Suite of Food Security Indicators","Andorra","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","63913"
"Suite of Food Security Indicators","Andorra","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","64631"
"Suite of Food Security Indicators","Andorra","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","65928"
"Suite of Food Security Indicators","Andorra","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Andorra","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Andorra","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Andorra","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Andorra","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Andorra","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Andorra","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Andorra","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Andorra","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Andorra","Value","Political stability and absence of violence/terrorism (index)","2021","1.58"
"Suite of Food Security Indicators","Andorra","Value","Political stability and absence of violence/terrorism (index)","2022","1.59"
"Suite of Food Security Indicators","Andorra","Value","Number of obese adults (18 years and older) (million)","2021","<0.1"
"Suite of Food Security Indicators","Andorra","Value","Number of obese adults (18 years and older) (million)","2022","<0.1"
"Suite of Food Security Indicators","Angola","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","7408"
"Suite of Food Security Indicators","Angola","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","7398"
"Suite of Food Security Indicators","Angola","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","7250"
"Suite of Food Security Indicators","Angola","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","7344"
"Suite of Food Security Indicators","Angola","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","31.2"
"Suite of Food Security Indicators","Angola","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Angola","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Angola","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","29.8"
"Suite of Food Security Indicators","Angola","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Angola","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Angola","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","32.6"
"Suite of Food Security Indicators","Angola","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Angola","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Angola","Value","Political stability and absence of violence/terrorism (index)","2021","-0.71"
"Suite of Food Security Indicators","Angola","Value","Political stability and absence of violence/terrorism (index)","2022","-0.63"
"Suite of Food Security Indicators","Angola","Value","Number of obese adults (18 years and older) (million)","2021","1.9"
"Suite of Food Security Indicators","Angola","Value","Number of obese adults (18 years and older) (million)","2022","2"
"Suite of Food Security Indicators","Antigua and Barbuda","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","25746"
"Suite of Food Security Indicators","Antigua and Barbuda","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","27942"
"Suite of Food Security Indicators","Antigua and Barbuda","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","28474"
"Suite of Food Security Indicators","Antigua and Barbuda","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","29562"
"Suite of Food Security Indicators","Antigua and Barbuda","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","3.4"
"Suite of Food Security Indicators","Antigua and Barbuda","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","3.4"
"Suite of Food Security Indicators","Antigua and Barbuda","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","3.4"
"Suite of Food Security Indicators","Antigua and Barbuda","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","3.5"
"Suite of Food Security Indicators","Antigua and Barbuda","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","3.5"
"Suite of Food Security Indicators","Antigua and Barbuda","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","3.5"
"Suite of Food Security Indicators","Antigua and Barbuda","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","3.3"
"Suite of Food Security Indicators","Antigua and Barbuda","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","3.3"
"Suite of Food Security Indicators","Antigua and Barbuda","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","3.3"
"Suite of Food Security Indicators","Antigua and Barbuda","Value","Political stability and absence of violence/terrorism (index)","2021","0.95"
"Suite of Food Security Indicators","Antigua and Barbuda","Value","Political stability and absence of violence/terrorism (index)","2022","0.94"
"Suite of Food Security Indicators","Antigua and Barbuda","Value","Number of obese adults (18 years and older) (million)","2021","<0.1"
"Suite of Food Security Indicators","Antigua and Barbuda","Value","Number of obese adults (18 years and older) (million)","2022","<0.1"
"Suite of Food Security Indicators","Argentina","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","26300"
"Suite of Food Security Indicators","Argentina","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","27628"
"Suite of Food Security Indicators","Argentina","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","27105"
"Suite of Food Security Indicators","Argentina","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","26547"
"Suite of Food Security Indicators","Argentina","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","13.1"
"Suite of Food Security Indicators","Argentina","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","13.1"
"Suite of Food Security Indicators","Argentina","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","12.3"
"Suite of Food Security Indicators","Argentina","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","10.1"
"Suite of Food Security Indicators","Argentina","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","10.4"
"Suite of Food Security Indicators","Argentina","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","10.4"
"Suite of Food Security Indicators","Argentina","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","16.2"
"Suite of Food Security Indicators","Argentina","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","15.7"
"Suite of Food Security Indicators","Argentina","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","14.1"
"Suite of Food Security Indicators","Argentina","Value","Political stability and absence of violence/terrorism (index)","2022","-0.1"
"Suite of Food Security Indicators","Argentina","Value","Number of obese adults (18 years and older) (million)","2021","11.2"
"Suite of Food Security Indicators","Argentina","Value","Number of obese adults (18 years and older) (million)","2022","11.6"
"Suite of Food Security Indicators","Armenia","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","15922"
"Suite of Food Security Indicators","Armenia","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","17886"
"Suite of Food Security Indicators","Armenia","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","19403"
"Suite of Food Security Indicators","Armenia","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","20079"
"Suite of Food Security Indicators","Armenia","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","<0.5"
"Suite of Food Security Indicators","Armenia","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","<0.5"
"Suite of Food Security Indicators","Armenia","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","<0.5"
"Suite of Food Security Indicators","Armenia","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","<0.5"
"Suite of Food Security Indicators","Armenia","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","<0.5"
"Suite of Food Security Indicators","Armenia","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","<0.5"
"Suite of Food Security Indicators","Armenia","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","<0.5"
"Suite of Food Security Indicators","Armenia","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","<0.5"
"Suite of Food Security Indicators","Armenia","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","<0.5"
"Suite of Food Security Indicators","Armenia","Value","Political stability and absence of violence/terrorism (index)","2021","-0.8"
"Suite of Food Security Indicators","Armenia","Value","Political stability and absence of violence/terrorism (index)","2022","-0.74"
"Suite of Food Security Indicators","Armenia","Value","Number of obese adults (18 years and older) (million)","2021","0.5"
"Suite of Food Security Indicators","Armenia","Value","Number of obese adults (18 years and older) (million)","2022","0.5"
"Suite of Food Security Indicators","Australia","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","58182"
"Suite of Food Security Indicators","Australia","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","59884"
"Suite of Food Security Indicators","Australia","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","60461"
"Suite of Food Security Indicators","Australia","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","60082"
"Suite of Food Security Indicators","Australia","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","3.4"
"Suite of Food Security Indicators","Australia","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","4.2"
"Suite of Food Security Indicators","Australia","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","3.7"
"Suite of Food Security Indicators","Australia","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","3.8"
"Suite of Food Security Indicators","Australia","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","4.8"
"Suite of Food Security Indicators","Australia","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","3.8"
"Suite of Food Security Indicators","Australia","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","3"
"Suite of Food Security Indicators","Australia","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","3.6"
"Suite of Food Security Indicators","Australia","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","3.7"
"Suite of Food Security Indicators","Australia","Value","Political stability and absence of violence/terrorism (index)","2021","0.84"
"Suite of Food Security Indicators","Australia","Value","Political stability and absence of violence/terrorism (index)","2022","0.98"
"Suite of Food Security Indicators","Australia","Value","Number of obese adults (18 years and older) (million)","2021","6"
"Suite of Food Security Indicators","Australia","Value","Number of obese adults (18 years and older) (million)","2022","6.2"
"Suite of Food Security Indicators","Austria","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","62969"
"Suite of Food Security Indicators","Austria","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","65662"
"Suite of Food Security Indicators","Austria","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","64394"
"Suite of Food Security Indicators","Austria","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","63315"
"Suite of Food Security Indicators","Austria","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","1.6"
"Suite of Food Security Indicators","Austria","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","1.8"
"Suite of Food Security Indicators","Austria","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","1.5"
"Suite of Food Security Indicators","Austria","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","1.7"
"Suite of Food Security Indicators","Austria","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","2"
"Suite of Food Security Indicators","Austria","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","1.7"
"Suite of Food Security Indicators","Austria","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","1.4"
"Suite of Food Security Indicators","Austria","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","1.5"
"Suite of Food Security Indicators","Austria","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","1.3"
"Suite of Food Security Indicators","Austria","Value","Political stability and absence of violence/terrorism (index)","2021","0.9"
"Suite of Food Security Indicators","Austria","Value","Political stability and absence of violence/terrorism (index)","2022","0.65"
"Suite of Food Security Indicators","Austria","Value","Number of obese adults (18 years and older) (million)","2021","1.1"
"Suite of Food Security Indicators","Austria","Value","Number of obese adults (18 years and older) (million)","2022","1.1"
"Suite of Food Security Indicators","Azerbaijan","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","20111"
"Suite of Food Security Indicators","Azerbaijan","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","21051"
"Suite of Food Security Indicators","Azerbaijan","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","21311"
"Suite of Food Security Indicators","Azerbaijan","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","22072"
"Suite of Food Security Indicators","Azerbaijan","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","<0.5"
"Suite of Food Security Indicators","Azerbaijan","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","0.7"
"Suite of Food Security Indicators","Azerbaijan","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","1.3"
"Suite of Food Security Indicators","Azerbaijan","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","<0.5"
"Suite of Food Security Indicators","Azerbaijan","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","0.7"
"Suite of Food Security Indicators","Azerbaijan","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","1.1"
"Suite of Food Security Indicators","Azerbaijan","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","<0.5"
"Suite of Food Security Indicators","Azerbaijan","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","0.8"
"Suite of Food Security Indicators","Azerbaijan","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","1.4"
"Suite of Food Security Indicators","Azerbaijan","Value","Political stability and absence of violence/terrorism (index)","2021","-0.84"
"Suite of Food Security Indicators","Azerbaijan","Value","Political stability and absence of violence/terrorism (index)","2022","-0.92"
"Suite of Food Security Indicators","Azerbaijan","Value","Number of obese adults (18 years and older) (million)","2021","1.9"
"Suite of Food Security Indicators","Azerbaijan","Value","Number of obese adults (18 years and older) (million)","2022","2"
"Suite of Food Security Indicators","Bahamas","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","31065"
"Suite of Food Security Indicators","Bahamas","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","34343"
"Suite of Food Security Indicators","Bahamas","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","35221"
"Suite of Food Security Indicators","Bahamas","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","36244"
"Suite of Food Security Indicators","Bahamas","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","3.4"
"Suite of Food Security Indicators","Bahamas","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","3.4"
"Suite of Food Security Indicators","Bahamas","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Bahamas","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","3.6"
"Suite of Food Security Indicators","Bahamas","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","3.6"
"Suite of Food Security Indicators","Bahamas","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Bahamas","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","3.3"
"Suite of Food Security Indicators","Bahamas","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","3.3"
"Suite of Food Security Indicators","Bahamas","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Bahamas","Value","Political stability and absence of violence/terrorism (index)","2021","0.85"
"Suite of Food Security Indicators","Bahamas","Value","Political stability and absence of violence/terrorism (index)","2022","0.88"
"Suite of Food Security Indicators","Bahamas","Value","Number of obese adults (18 years and older) (million)","2021","0.1"
"Suite of Food Security Indicators","Bahamas","Value","Number of obese adults (18 years and older) (million)","2022","0.1"
"Suite of Food Security Indicators","Bahrain","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","54955"
"Suite of Food Security Indicators","Bahrain","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","57573"
"Suite of Food Security Indicators","Bahrain","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","57820"
"Suite of Food Security Indicators","Bahrain","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","59129"
"Suite of Food Security Indicators","Bahrain","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Bahrain","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Bahrain","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Bahrain","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Bahrain","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Bahrain","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Bahrain","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Bahrain","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Bahrain","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Bahrain","Value","Political stability and absence of violence/terrorism (index)","2021","-0.52"
"Suite of Food Security Indicators","Bahrain","Value","Political stability and absence of violence/terrorism (index)","2022","-0.36"
"Suite of Food Security Indicators","Bahrain","Value","Number of obese adults (18 years and older) (million)","2021","0.4"
"Suite of Food Security Indicators","Bahrain","Value","Number of obese adults (18 years and older) (million)","2022","0.4"
"Suite of Food Security Indicators","Bangladesh","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","7441"
"Suite of Food Security Indicators","Bangladesh","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","7888"
"Suite of Food Security Indicators","Bangladesh","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","8242"
"Suite of Food Security Indicators","Bangladesh","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","8487"
"Suite of Food Security Indicators","Bangladesh","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Bangladesh","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Bangladesh","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Bangladesh","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Bangladesh","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023",""
