"","","","2020-2022 [20202022]","2020-2022 [20202022]","2020-2022 [20202022]","2020-2022 [20202022]","2021 [2021]","2021 [2021]","2021 [2021]","2021 [2021]","2021-2023 [20212023]","2021-2023 [20212023]","2021-2023 [20212023]","2021-2023 [20212023]","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]","2022-2024 [20222024]","2022-2024 [20222024]","2022-2024 [20222024]","2022-2024 [20222024]","2023 [2023]","2023 [2023]","2023 [2023]","2023 [2023]","2024 [2024]","2024 [2024]","2024 [2024]","2024 [2024]"
"Albania [008]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","7.5","Estimated value","FAO data","","","","","%","8.2","Estimated value","FAO data","","","","","%","8.4","Estimated value","FAO data","","","","","","","",""
"Algeria [012]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","14497","Figure from external organization","","","","","","Int$/cap","14782","Figure from external organization","","","","","","Int$/cap","15159","Figure from external organization","","Int$/cap","15442","Figure from external organization",""
"Algeria [012]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","6.7","Figure from external organization","","","","","","million No","6.9","Figure from external organization","","","","","","","","","","","","",""
"Algeria [012]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-0.99","Figure from external organization","","","","","","","-0.65","Figure from external organization","","","","","","","","","","","","",""
"Algeria [012]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","4.3","Estimated value","FAO data","","","","","%","4.3","Estimated value","FAO data","","","","","%","4.3","Estimated value","FAO data","","","","","","","",""
"Algeria [012]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","6.9","Estimated value","FAO data","","","","","%","7","Estimated value","FAO data","","","","","%","5.6","Estimated value","FAO data","","","","","","","",""
"Algeria [012]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","5.6","Estimated value","FAO data","","","","","%","5.6","Estimated value","FAO data","","","","","%","4.9","Estimated value","FAO data","","","","","","","",""
"American Samoa [016]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"American Samoa [016]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","<0.1","Figure from external organization","","","","","","million No","<0.1","Figure from external organization","","","","","","","","","","","","",""
"American Samoa [016]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","1.07","Figure from external organization","","","","","","","1.12","Figure from external organization","","","","","","","","","","","","",""
"American Samoa [016]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"American Samoa [016]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"American Samoa [016]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Andorra [020]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","59332","Figure from external organization","","","","","","Int$/cap","63913","Figure from external organization","","","","","","Int$/cap","64631","Figure from external organization","","Int$/cap","65928","Figure from external organization",""
"Andorra [020]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","<0.1","Figure from external organization","","","","","","million No","<0.1","Figure from external organization","","","","","","","","","","","","",""
"Andorra [020]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","1.58","Figure from external organization","","","","","","","1.59","Figure from external organization","","","","","","","","","","","","",""
"Andorra [020]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Andorra [020]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Andorra [020]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Angola [024]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","7408","Figure from external organization","","","","","","Int$/cap","7398","Figure from external organization","","","","","","Int$/cap","7250","Figure from external organization","","Int$/cap","7344","Figure from external organization",""
"Angola [024]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","1.9","Figure from external organization","","","","","","million No","2","Figure from external organization","","","","","","","","","","","","",""
"Angola [024]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-0.71","Figure from external organization","","","","","","","-0.63","Figure from external organization","","","","","","","","","","","","",""
"Angola [024]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","32.6","Estimated value","Official estimate integrated with FAO data","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Angola [024]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","29.8","Estimated value","Official estimate integrated with FAO data","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Angola [024]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","31.2","Estimated value","Official estimate integrated with FAO data","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Antigua and Barbuda [028]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","25746","Figure from external organization","","","","","","Int$/cap","27942","Figure from external organization","","","","","","Int$/cap","28474","Figure from external organization","","Int$/cap","29562","Figure from external organization",""
"Antigua and Barbuda [028]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","<0.1","Figure from external organization","","","","","","million No","<0.1","Figure from external organization","","","","","","","","","","","","",""
"Antigua and Barbuda [028]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","0.95","Figure from external organization","","","","","","","0.94","Figure from external organization","","","","","","","","","","","","",""
"Antigua and Barbuda [028]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","3.3","Estimated value","Official estimate","","","","","%","3.3","Estimated value","Official estimate","","","","","%","3.3","Estimated value","Official estimate","","","","","","","",""
"Antigua and Barbuda [028]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","3.5","Estimated value","Official estimate","","","","","%","3.5","Estimated value","Official estimate","","","","","%","3.5","Estimated value","Official estimate","","","","","","","",""
"Antigua and Barbuda [028]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","3.4","Estimated value","Official estimate","","","","","%","3.4","Estimated value","Official estimate","","","","","%","3.4","Estimated value","Official estimate","","","","","","","",""
"Argentina [032]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","26300","Figure from external organization","","","","","","Int$/cap","27628","Figure from external organization","","","","","","Int$/cap","27105","Figure from external organization","","Int$/cap","26547","Figure from external organization",""
"Argentina [032]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","11.2","Figure from external organization","","","","","","million No","11.6","Figure from external organization","","","","","","","","","","","","",""
"Argentina [032]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","","","","","","","","","-0.1","Figure from external organization","","","","","","","","","","","","",""
"Argentina [032]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","16.2","Estimated value","FAO data","","","","","%","15.7","Estimated value","FAO data","","","","","%","14.1","Estimated value","FAO data","","","","","","","",""
"Argentina [032]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","10.1","Estimated value","FAO data","","","","","%","10.4","Estimated value","FAO data","","","","","%","10.4","Estimated value","FAO data","","","","","","","",""
"Argentina [032]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","13.1","Estimated value","FAO data","","","","","%","13.1","Estimated value","FAO data","","","","","%","12.3","Estimated value","FAO data","","","","","","","",""
"Armenia [051]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","15922","Figure from external organization","","","","","","Int$/cap","17886","Figure from external organization","","","","","","Int$/cap","19403","Figure from external organization","","Int$/cap","20079","Figure from external organization",""
"Armenia [051]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","0.5","Figure from external organization","","","","","","million No","0.5","Figure from external organization","","","","","","","","","","","","",""
"Armenia [051]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-0.8","Figure from external organization","","","","","","","-0.74","Figure from external organization","","","","","","","","","","","","",""
"Armenia [051]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","<0.5","Estimated value","Official estimate","","","","","%","<0.5","Estimated value","Official estimate","","","","","%","<0.5","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Armenia [051]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","<0.5","Estimated value","Official estimate","","","","","%","<0.5","Estimated value","Official estimate","","","","","%","<0.5","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Armenia [051]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","<0.5","Official figure","Official estimate","","","","","%","<0.5","Official figure","Official estimate","","","","","%","<0.5","Official figure","Official estimate integrated with FAO data","","","","","","","",""
"Australia [036]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","58182","Figure from external organization","","","","","","Int$/cap","59884","Figure from external organization","","","","","","Int$/cap","60461","Figure from external organization","","Int$/cap","60082","Figure from external organization",""
"Australia [036]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","6","Figure from external organization","","","","","","million No","6.2","Figure from external organization","","","","","","","","","","","","",""
"Australia [036]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","0.84","Figure from external organization","","","","","","","0.98","Figure from external organization","","","","","","","","","","","","",""
"Australia [036]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","3","Estimated value","FAO data","","","","","%","3.6","Estimated value","FAO data","","","","","%","3.7","Estimated value","FAO data","","","","","","","",""
"Australia [036]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","3.8","Estimated value","FAO data","","","","","%","4.8","Estimated value","FAO data","","","","","%","3.8","Estimated value","FAO data","","","","","","","",""
"Australia [036]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","3.4","Estimated value","FAO data","","","","","%","4.2","Estimated value","FAO data","","","","","%","3.7","Estimated value","FAO data","","","","","","","",""
"Austria [040]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","62969","Figure from external organization","","","","","","Int$/cap","65662","Figure from external organization","","","","","","Int$/cap","64394","Figure from external organization","","Int$/cap","63315","Figure from external organization",""
"Austria [040]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","1.1","Figure from external organization","","","","","","million No","1.1","Figure from external organization","","","","","","","","","","","","",""
"Austria [040]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","0.9","Figure from external organization","","","","","","","0.65","Figure from external organization","","","","","","","","","","","","",""
"Austria [040]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","1.4","Estimated value","FAO data","","","","","%","1.5","Estimated value","FAO data","","","","","%","1.3","Estimated value","FAO data","","","","","","","",""
"Austria [040]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","1.7","Estimated value","FAO data","","","","","%","2","Estimated value","FAO data","","","","","%","1.7","Estimated value","FAO data","","","","","","","",""
"Austria [040]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","1.6","Estimated value","FAO data","","","","","%","1.8","Estimated value","FAO data","","","","","%","1.5","Estimated value","FAO data","","","","","","","",""
"Azerbaijan [031]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","20111","Figure from external organization","","","","","","Int$/cap","21051","Figure from external organization","","","","","","Int$/cap","21311","Figure from external organization","","Int$/cap","22072","Figure from external organization",""
"Azerbaijan [031]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","1.9","Figure from external organization","","","","","","million No","2","Figure from external organization","","","","","","","","","","","","",""
"Azerbaijan [031]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-0.84","Figure from external organization","","","","","","","-0.92","Figure from external organization","","","","","","","","","","","","",""
"Azerbaijan [031]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","<0.5","Estimated value","FAO data","","","","","%","0.8","Estimated value","FAO data","","","","","%","1.4","Estimated value","FAO data","","","","","","","",""
"Azerbaijan [031]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","<0.5","Estimated value","FAO data","","","","","%","0.7","Estimated value","FAO data","","","","","%","1.1","Estimated value","FAO data","","","","","","","",""
"Azerbaijan [031]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","<0.5","Estimated value","FAO data","","","","","%","0.7","Estimated value","FAO data","","","","","%","1.3","Estimated value","FAO data","","","","","","","",""
"Bahamas [044]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","31065","Figure from external organization","","","","","","Int$/cap","34343","Figure from external organization","","","","","","Int$/cap","35221","Figure from external organization","","Int$/cap","36244","Figure from external organization",""
"Bahamas [044]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","0.1","Figure from external organization","","","","","","million No","0.1","Figure from external organization","","","","","","","","","","","","",""
"Bahamas [044]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","0.85","Figure from external organization","","","","","","","0.88","Figure from external organization","","","","","","","","","","","","",""
"Bahamas [044]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","3.3","Estimated value","FAO data","","","","","%","3.3","Estimated value","FAO data","","","","","%","","Missing value","","","","","","","","",""
"Bahamas [044]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","3.6","Estimated value","FAO data","","","","","%","3.6","Estimated value","FAO data","","","","","%","","Missing value","","","","","","","","",""
"Bahamas [044]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","3.4","Estimated value","FAO data","","","","","%","3.4","Estimated value","FAO data","","","","","%","","Missing value","","","","","","","","",""
"Bahrain [048]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","54955","Figure from external organization","","","","","","Int$/cap","57573","Figure from external organization","","","","","","Int$/cap","57820","Figure from external organization","","Int$/cap","59129","Figure from external organization",""
"Bahrain [048]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","0.4","Figure from external organization","","","","","","million No","0.4","Figure from external organization","","","","","","","","","","","","",""
"Bahrain [048]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-0.52","Figure from external organization","","","","","","","-0.36","Figure from external organization","","","","","","","","","","","","",""
"Bahrain [048]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Bahrain [048]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Bahrain [048]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Bangladesh [050]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","7441","Figure from external organization","","","","","","Int$/cap","7888","Figure from external organization","","","","","","Int$/cap","8242","Figure from external organization","","Int$/cap","8487","Figure from external organization",""
"Bangladesh [050]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","5.7","Figure from external organization","","","","","","million No","6.2","Figure from external organization","","","","","","","","","","","","",""
"Bangladesh [050]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-1.04","Figure from external organization","","","","","","","-1.05","Figure from external organization","","","","","","","","","","","","",""
"Bangladesh [050]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","","","",""
"Bangladesh [050]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","","","",""
"Bangladesh [050]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","","","",""
"Barbados [052]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","15684","Figure from external organization","","","","","","Int$/cap","18470","Figure from external organization","","","","","","Int$/cap","19225","Figure from external organization","","Int$/cap","19946","Figure from external organization",""
"Barbados [052]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","0.1","Figure from external organization","","","","","","million No","0.1","Figure from external organization","","","","","","","","","","","","",""
"Barbados [052]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","1.12","Figure from external organization","","","","","","","1.14","Figure from external organization","","","","","","","","","","","","",""
"Barbados [052]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","8","Estimated value","FAO data","","","","","%","8","Estimated value","FAO data","","","","","%","","Missing value","","","","","","","","",""
"Barbados [052]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","6.8","Estimated value","FAO data","","","","","%","6.8","Estimated value","FAO data","","","","","%","","Missing value","","","","","","","","",""
"Barbados [052]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","7.4","Estimated value","FAO data","","","","","%","7.4","Estimated value","FAO data","","","","","%","","Missing value","","","","","","","","",""
"Belarus [112]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","27611","Figure from external organization","","","","","","Int$/cap","26538","Figure from external organization","","","","","","Int$/cap","27782","Figure from external organization","","Int$/cap","29038","Figure from external organization",""
"Belarus [112]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","1.6","Figure from external organization","","","","","","million No","1.6","Figure from external organization","","","","","","","","","","","","",""
"Belarus [112]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-0.75","Figure from external organization","","","","","","","-0.8","Figure from external organization","","","","","","","","","","","","",""
"Belarus [112]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","<0.5","Estimated value","Official estimate","","","","","%","<0.5","Estimated value","Official estimate","","","","","%","<0.5","Estimated value","Official estimate","","","","","","","",""
"Belarus [112]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","<0.5","Estimated value","Official estimate","","","","","%","<0.5","Estimated value","Official estimate","","","","","%","<0.5","Estimated value","Official estimate","","","","","","","",""
"Belarus [112]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","<0.5","Official figure","Official estimate","","","","","%","<0.5","Estimated value","Official estimate","","","","","%","<0.5","Estimated value","Official estimate","","","","","","","",""
"Belgium [056]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","60669","Figure from external organization","","","","","","Int$/cap","62744","Figure from external organization","","","","","","Int$/cap","62921","Figure from external organization","","Int$/cap","63083","Figure from external organization",""
"Belgium [056]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","1.8","Figure from external organization","","","","","","million No","1.9","Figure from external organization","","","","","","","","","","","","",""
"Belgium [056]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","0.66","Figure from external organization","","","","","","","0.58","Figure from external organization","","","","","","","","","","","","",""
"Belgium [056]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","1.5","Estimated value","FAO data","","","","","%","2","Estimated value","FAO data","","","","","%","2.7","Estimated value","FAO data","","","","","","","",""
"Belgium [056]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","1.6","Estimated value","FAO data","","","","","%","2","Estimated value","FAO data","","","","","%","2.1","Estimated value","FAO data","","","","","","","",""
"Belgium [056]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","1.5","Estimated value","FAO data","","","","","%","2","Estimated value","FAO data","","","","","%","2.4","Estimated value","FAO data","","","","","","","",""
"Belize [084]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","11678","Figure from external organization","","","","","","Int$/cap","12570","Figure from external organization","","","","","","Int$/cap","12455","Figure from external organization","","Int$/cap","13278","Figure from external organization",""
"Belize [084]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","0.1","Figure from external organization","","","","","","million No","0.1","Figure from external organization","","","","","","","","","","","","",""
"Belize [084]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","0.27","Figure from external organization","","","","","","","0.56","Figure from external organization","","","","","","","","","","","","",""
"Belize [084]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","5.9","Estimated value","Official estimate","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Belize [084]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","5.9","Estimated value","Official estimate","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Belize [084]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","5.9","Estimated value","Official estimate","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Benin [204]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","3464","Figure from external organization","","","","","","Int$/cap","3588","Figure from external organization","","","","","","Int$/cap","3721","Figure from external organization","","Int$/cap","3901","Figure from external organization",""
"Benin [204]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","0.7","Figure from external organization","","","","","","million No","0.8","Figure from external organization","","","","","","","","","","","","",""
"Benin [204]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-0.4","Figure from external organization","","","","","","","-0.34","Figure from external organization","","","","","","","","","","","","",""
"Benin [204]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","15.8","Estimated value","Official estimate integrated with FAO data","","","","","%","16.2","Estimated value","Official estimate integrated with FAO data","","","","","%","15","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Benin [204]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","15","Estimated value","Official estimate integrated with FAO data","","","","","%","15.4","Estimated value","Official estimate integrated with FAO data","","","","","%","14.9","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Benin [204]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","15.4","Estimated value","Official estimate integrated with FAO data","","","","","%","15.8","Estimated value","Official estimate integrated with FAO data","","","","","%","15","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Bermuda [060]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","92320","Figure from external organization","","","","","","Int$/cap","98145","Figure from external organization","","","","","","Int$/cap","103052","Figure from external organization","","Int$/cap","105323","Figure from external organization",""
"Bermuda [060]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","<0.1","Figure from external organization","","","","","","million No","<0.1","Figure from external organization","","","","","","","","","","","","",""
